TID,EngTitle,EngPurpose,LocalTitle,LocalPurpose,Type,Value,Value2,Count,RemoveItem,WorldTID,MapXYZ
64,QMT_Title_000035,QMT_Purpose_000035,古代的书使用后伊丽莎白的处理。,萨麦尔,1,350005,0,1,0,2000,1179.54|4240.27|92.54
69,QMT_Title_000036,QMT_Purpose_000036,古代古代文中使用,使用一个古老的书,4,20099,0,1,1,2000,1179.54|4240.27|92.54
65,QMT_Title_000037,QMT_Purpose_000037,古代的门周围噩梦的花收集,收集噩梦之花,3,20166,0,7,1,2000,1139.03|4259.01|92.02
66,QMT_Title_000038,QMT_Purpose_000038,古代的门封条使用周围的订单,使用密封订单,4,20100,0,1,1,2000,1179.36|4168.49|105.46
67,QMT_Title_000039,QMT_Purpose_000039,使用封印订单被空洞的邪念处置。,杀空虚的邪念,1,350006,0,2,0,2000,1179.36|4168.49|105.46
68,QMT_Title_000040,QMT_Purpose_000040,使用移动订单后，伊丽莎白市红衣主教和对话。,使用移动订单,4,20221,0,1,1,2000,0
70,QMT_Title_000041,QMT_Purpose_000041,四狂战士处置。,地精狂战士杀,1,180001,0,1,0,2000,0
71,QMT_Title_000042,QMT_Purpose_000042,四者处置。,精灵刺客,1,180002,0,1,0,2000,0
72,QMT_Title_000043,QMT_Purpose_000043,魔鬼战斗法师处置。,精灵精灵对战援助,1,180003,0,1,0,2000,0
101,QMT_Title_000044,QMT_Purpose_000044,熙提的总参谋长爱德华和对话,爱德华和谈话,2,1043,0,1,0,2000,259.80|415.06|209.96
102,QMT_Title_000045,QMT_Purpose_000045,熙提的伊丽莎白市红衣主教和对话。,艾丽西亚和对话,2,1045,0,1,0,2000,242.83|236.21|165.30
103,QMT_Title_000046,QMT_Purpose_000046,伊丽莎白市的水晶珠子用红色岩石荒地移动,使用水晶球艾丽西亚的,4,20300,0,1,1,2000,0
111,QMT_Title_000047,QMT_Purpose_000047,阴沉的感觉的地方，州和对话,伊利亚·对话,2,2012,0,1,0,2000,2290.83|4846.26|165.30
112,QMT_Title_000048,QMT_Purpose_000048,阴沉的感觉的场所使用的决定。,土地使用决策,4,20309,0,1,1,2000,1663.61|4536.27|84.59
121,QMT_Title_000049,QMT_Purpose_000049,发掘团长韩对话。,与团长的对话,2,2034,0,1,0,2000,1807.64|4159.49|117.02
122,QMT_Title_000050,QMT_Purpose_000050,处置红蝎子盗贼团盗墓者。,干掉盗贼团盗墓者,1,1532,0,10,0,2000,1638.14|4172.03|111.09
123,QMT_Title_000051,QMT_Purpose_000051,在发掘的文件箱获得。,获得文件,3,20316,0,1,1,2000,1571.60|4175.91|116.83
131,QMT_Title_000052,QMT_Purpose_000052,用电弧窝里阴森的调查,调查阴沉的地方,2,2042,0,1,0,2000,1860.56|4228.11|107.07
132,QMT_Title_000053,QMT_Purpose_000053,来完成对话。,在Lua和对话。,2,2031,0,1,0,2000,1813.31|4162.88|117.11
134,QMT_Title_000054,QMT_Purpose_000054,用电弧巢的阴森的场所使用的决定。,土地使用决策,4,20330,0,1,1,2000,1860.56|4228.11|107.07
141,QMT_Title_000055,QMT_Purpose_000055,匪帮的藏身之处的阴森的场所使用的决定。,土地使用决策,4,20388,0,1,1,2000,1958.61|4070.61|128.92
151,QMT_Title_000056,QMT_Purpose_000056,移动使用紧急订单,使用紧急运行命令,4,20224,0,1,1,2000,1569.19|3947.07|148.66
152,QMT_Title_000057,QMT_Purpose_000057,使用瞬间移动订单熙提地地移动,使用即时运行命令,4,20339,0,1,1,2500,0
160,QMT_Title_000058,QMT_Purpose_000058,情报军官去个附近的可疑士兵干掉,可疑的士兵,1,1651,0,5,0,2500,381.60|427.17|192.52
154,QMT_Title_000059,QMT_Purpose_000059,第一章引言闸门在使用真实的珠子,使用珠真相,4,20340,0,1,1,2500,50.85|235.90|175.26
161,QMT_Title_000060,QMT_Purpose_000060,使用真实的珠子被获取监视者处置。,监控劫匪,1,350115,0,3,0,2500,50.85|235.90|175.26
156,QMT_Title_000061,QMT_Purpose_000061,情报军官用的秘密文件获得一次,在洛哈内尔获得的秘密文件,3,20341,0,1,1,2500,414.75|256.58|162.52
157,QMT_Title_000062,QMT_Purpose_000062,总参谋长爱德华面前自由使用的传票,使用引文普里莫的,4,20342,0,1,1,2500,257.04|414.54|209.96
158,QMT_Title_000063,QMT_Purpose_000063,总参谋长对爱德华在上部分的环和对话。,哲科带来光明的谈话EOWA,2,132,0,1,0,2500,255.85|424.19|209.96
159,QMT_Title_000064,QMT_Purpose_000064,订单使用瞬间移动（移动塔村,使用即时运行命令,4,20344,0,1,1,2000,0
163,QMT_Title_000065,QMT_Purpose_000065,绯红。在向上的环形语义传达密信。,深红交付给milseo,7,20343,0,1,1,2000,1617.48|3878.47|148.34
171,QMT_Title_000066,QMT_Purpose_000066,获取最近前燃烧的大地上，大地的决定使用。,土地使用决策,4,20351,0,1,1,2000,1257.00|3992.31|125.10
175,QMT_Title_000067,QMT_Purpose_000067,大地的决定使用被黑暗的暗杀者处置。,刺客杀死黑暗,1,350126,0,3,0,2000,1257.00|3992.31|125.10
172,QMT_Title_000068,QMT_Purpose_000068,获取堡垒中，红蝎子盗贼团战斗魔岩的核,战斗魔岩的核收集,3,20352,0,10,1,2000,1180.70|3907.12|131.16
174,QMT_Title_000069,QMT_Purpose_000069,匪帮头目在黑暗的拉我来处理,现在考虑暗拉试验治疗,1,350125,0,1,0,2000,1269.93|4035.97|141.55
173,QMT_Title_000070,QMT_Purpose_000070,卵器中的文件传送系统。,兰斯射线发射器利用的文献传递,7,20353,0,1,1,2000,1084.56|3914.63|130.94
181,QMT_Title_000071,QMT_Purpose_000071,从硫磺，硫磺烟雾收集快速眼动的核,硫磺石魔核集合,3,20374,0,12,1,2000,1676.00|3729.23|137.42
191,QMT_Title_000072,QMT_Purpose_000072,理大眼科,多利安和谈话,2,2101,0,1,0,2000,1724.63|3569.23|138.87
192,QMT_Title_000073,QMT_Purpose_000073,援助处理帮凶,消灭哈利伊德下手,1,1611,0,12,0,2000,1682.66|3549.07|141.44
196,QMT_Title_000074,QMT_Purpose_000074,哈利伊德的追随者处置。,消灭哈利伊德追随者,1,1612,0,12,0,2000,1682.66|3549.07|141.44
193,QMT_Title_000075,QMT_Purpose_000075,海尔德雷干掉后收集的邪念,恶念收集从海尔德雷,3,20375,0,1,1,2000,1624.27|3412.46|151.38
194,QMT_Title_000076,QMT_Purpose_000076,魔法的破坏为破坏鲜血水晶,鲜血水晶的破坏,1,1614,0,1,0,2000,1564.14|3536.46|155.15
195,QMT_Title_000077,QMT_Purpose_000077,红岩石军团要塞的草案和对话。,Geurasian谈话,2,2111,0,1,0,2000,1860.28|3418.77|154.39
201,QMT_Title_000078,QMT_Purpose_000078,破坏魔力水晶,魔力水晶的破坏,1,1635,0,1,0,2000,1944.91|3704.82|145.20
211,QMT_Title_000079,QMT_Purpose_000079,哨兵的院子里收集的石板。,哨兵的石板收集,3,20396,0,10,1,2000,1795.52|3139.47|160.51
212,QMT_Title_000080,QMT_Purpose_000080,指挥，快速眼动和对话和对话后僵硬,贝尔格莱德对话,2,2131,0,1,0,2000,2021.87|3201.55|143.66
213,QMT_Title_000081,QMT_Purpose_000081,处理戴姆里伸石魔术师。,魔像魔术师,1,1644,0,12,0,2000,1967.28|3178.49|150.00
214,QMT_Title_000082,QMT_Purpose_000082,古代水晶的使用,使用古老的水晶,4,20389,0,1,1,2000,1995.97|3250.63|144.88
215,QMT_Title_000083,QMT_Purpose_000083,绝望的水晶破坏,绝望水晶的毁灭,1,1645,0,1,0,2000,1921.20|3121.89|153.65
217,QMT_Title_000084,QMT_Purpose_000084,赫尔红分身的处置。,地狱一团突袭,1,350141,0,1,0,2000,1924.57|3126.20|153.65
216,QMT_Title_000085,QMT_Purpose_000085,叙利亚和对话,叙利亚和谈话,2,2114,0,1,0,2000,1856.39|3412.84|154.31
301,QMT_Title_000086,QMT_Purpose_000086,移动订单熙提正式使用移动,使用移动订单,4,20696,0,1,1,2000,0
302,QMT_Title_000087,QMT_Purpose_000087,你应该和哲科的气息仍然在谈。,艾丁谈话,2,132,0,1,0,2500,2305.67|5031.93|210.13
303,QMT_Title_000088,QMT_Purpose_000088,您应该普里莫的气息仍然在序言中守门员交谈。,普里莫和对话,2,1042,0,1,0,2500,52.34|235.98|175.24
304,QMT_Title_000089,QMT_Purpose_000089,去的顺序移动到被遗忘的人物的村庄。,使用移动订单,4,20697,0,1,1,2000,0
311,QMT_Title_000090,QMT_Purpose_000090,在一个村庄的支石墓西北使用被遗忘的一方。,使用被遗忘的人物,4,20698,0,1,1,2000,2304.50|4352.40|149.34
312,QMT_Title_000091,QMT_Purpose_000091,在古坛使用守护者灵魂石,使用守护者的灵魂石,4,20699,0,1,1,2000,2207.88|4344.49|138.48
313,QMT_Title_000092,QMT_Purpose_000092,杀死遗忘的人物的邪念,杀死遗忘的人物邪念,1,350238,0,1,0,2000,2207.88|4344.49|138.48
314,QMT_Title_000093,QMT_Purpose_000093,杀死遗忘的人物的意志,杀死遗忘的人物的意志,1,350239,0,1,0,2000,2207.88|4344.49|138.48
321,QMT_Title_000094,QMT_Purpose_000094,高旗其他用途村在被占领西山的。,标志使用被遗忘的小镇,4,20700,0,1,1,2000,2169.27|4263.53|130.71
322,QMT_Title_000095,QMT_Purpose_000095,消灭暗黑部队巫师,消灭暗黑部队巫师,1,2516,0,15,0,2000,2169.27|4263.53|130.71
323,QMT_Title_000096,QMT_Purpose_000096,混乱的核毁灭,混乱的核毁灭,1,2517,0,1,0,2000,2169.27|4263.53|130.71
333,QMT_Title_000097,QMT_Purpose_000097,请使用以下空缺席位在加盖阵营。,使用印记席,4,20703,0,1,1,2000,2419.38|3860.19|67.30
341,QMT_Title_000098,QMT_Purpose_000098,在斯特恩珥的废墟上消除这些谁前来收回黑暗收集他的货物的权力。,格雷戈里的秘密盒回收,3,20704,0,1,1,2000,2186.78|4020.91|74.03
351,QMT_Title_000099,QMT_Purpose_000099,交付到特拉布宗亚洲框。,货物运送到特拉布宗亚洲,7,20705,0,1,1,2000,2214.44|3790.40|69.05
352,QMT_Title_000100,QMT_Purpose_000100,收集古古纪念碑在入口的遗址的精华。,古恒采摘,3,20706,0,1,1,2000,2184.84|3655.43|73.58
361,QMT_Title_000101,QMT_Purpose_000101,在城南镇山上，你必须找到兰希尔自警团的遗物。,回收遗物,3,20717,0,8,1,2000,2222.53|3328.76|49.93
362,QMT_Title_000102,QMT_Purpose_000102,请干掉山镇南区的虚弱的宪兵。,处理虚弱的宪兵,1,2571,0,15,0,2000,2169.63|3366.96|46.19
363,QMT_Title_000103,QMT_Purpose_000103,请用真理的珠子。,使用真实弹珠,4,20707,0,1,1,2000,2168.64|3336.03|49.08
364,QMT_Title_000104,QMT_Purpose_000104,摧毁尺寸的裂纹召回。,破坏二维裂纹,1,350218,0,1,0,2000,2168.64|3336.03|49.08
371,QMT_Title_000105,QMT_Purpose_000105,你必须杀死混沌号角部队巫师。,混沌号角部队巫师,1,2583,0,15,0,2000,2166.97|3216.53|59.12
373,QMT_Title_000106,QMT_Purpose_000106,你必须杀死混沌号角部队召唤术。,混沌号角部队召唤师,1,2584,0,15,0,2000,2166.97|3216.53|59.12
372,QMT_Title_000107,QMT_Purpose_000107,请破坏龟裂水晶在鲜红色血的祭坛。,破坏龟裂水晶,1,2585,0,1,1,2000,2265.16|3190.20|58.76
381,QMT_Title_000108,QMT_Purpose_000108,顶部精神的祭坛使用精灵水晶。,使用精灵水晶,4,20709,0,1,1,2000,2670.52|3994.75|90.22
382,QMT_Title_000109,QMT_Purpose_000109,处理召唤的堕落自然精灵。,堕落的自然精灵,1,350221,0,1,0,2000,2670.52|3994.75|90.22
391,QMT_Title_000110,QMT_Purpose_000110,请斩杀断头台冤魂，回收他们的碎片。,冤魂碎片收藏,3,20710,0,15,1,2000,2668.21|3770.62|19.71
392,QMT_Title_000111,QMT_Purpose_000111,请帮助净化堕落指挥官纳塔雷斯。,纳塔雷斯,1,2593,0,1,0,2000,2747.47|3706.52|6.67
393,QMT_Title_000112,QMT_Purpose_000112,请杀断头台的牺牲者。,断头台的牺牲者,1,2591,0,15,0,2000,2682.73|3747.45|17.38
394,QMT_Title_000113,QMT_Purpose_000113,请斩杀断头台冤魂。,断头台冤魂,1,2592,0,15,0,2000,2682.73|3747.45|17.38
401,QMT_Title_000114,QMT_Purpose_000114,在倒下的门废墟和门艾尔普援助取悦获得他们的肉。,门艾尔普肉收集,3,20711,0,15,1,2000,2969.74|3739.64|4.30
402,QMT_Title_000115,QMT_Purpose_000115,在艾弗门的文件箱，请收集精灵的记录。,月亮精灵的记录收集,3,20712,0,5,1,2000,2953.50|3741.37|3.65
403,QMT_Title_000116,QMT_Purpose_000116,请摧毁破坏次元龟裂。,破坏次元龟裂,1,2614,0,2,0,2000,2959.01|3670.73|14.17
411,QMT_Title_000117,QMT_Purpose_000117,在村庄北面空地血之斧部队突击兵应被视为威胁。,血之斧部队突击兵,1,2625,0,15,0,2000,2782.08|3510.63|23.98
413,QMT_Title_000118,QMT_Purpose_000118,空地中北镇的血之斧部队狙击手援助。,血之斧部队狙击手,1,2626,0,15,0,2000,2782.08|3510.63|23.98
412,QMT_Title_000119,QMT_Purpose_000119,在血之斧部队驻军地消灭血之斧部队斧头兵,斧头兵,1,2621,0,15,0,2000,2715.85|3556.71|32.81
414,QMT_Title_000120,QMT_Purpose_000120,在血之斧部队驻军地消灭血之斧部队弓箭手,弓箭手,1,2622,0,15,0,2000,2715.85|3556.71|32.81
415,QMT_Title_000121,QMT_Purpose_000121,在血之斧部队驻军地消灭血之斧部队魔法师,魔法师,1,2623,0,15,0,2000,2715.85|3556.71|32.81
421,QMT_Title_000122,QMT_Purpose_000122,在镇东边的得分血淋淋的斧头侦察兵和侦察请空地，并收复了黑色的项链。,黑色项链集合,3,20713,0,17,1,2000,2880.59|3379.41|18.71
422,QMT_Title_000123,QMT_Purpose_000123,请净化可疑的魔法师汤普森农场。,净化可疑的魔法师,1,2636,0,3,0,2000,2997.85|3510.98|40.13
423,QMT_Title_000124,QMT_Purpose_000124,请干掉分队长海瑟簕。,分队长海瑟簕,1,2633,0,1,0,2000,3014.89|3528.41|42.81
424,QMT_Title_000125,QMT_Purpose_000125,请净化队长虚空的意志,虚空之意志,1,350228,0,1,0,2000,3014.89|3528.41|42.81
431,QMT_Title_000126,QMT_Purpose_000126,隐士镇消灭可疑的警卫兵。,可疑的警卫兵,1,2638,0,8,0,2000,2806.82|3386.57|10.17
432,QMT_Title_000127,QMT_Purpose_000127,净化他们召唤虚空中的邪恶想法,杀空虚的邪念,1,350227,0,8,0,2000,2806.82|3386.57|10.17
441,QMT_Title_000128,QMT_Purpose_000128,请使用魂珠的阵营。,使用珠和烈酒,4,20714,0,1,1,2000,2800.07|3192.26|58.52
451,QMT_Title_000129,QMT_Purpose_000129,请使用混沌弹珠在佩纳屋的中心。,使用混沌珠,4,20715,0,1,1,2000,2941.01|3243.12|61.30
452,QMT_Title_000130,QMT_Purpose_000130,请佩纳召见得分。,干掉佩纳,1,350236,0,1,0,2000,2941.01|3243.12|61.30
501,QMT_Title_000131,QMT_Purpose_000131,暴走哈拉兆普在东门附近,干掉暴走哈拉兆普,1,3501,0,19,0,2000,2756.13|4808.19|175.73
502,QMT_Title_000132,QMT_Purpose_000132,饱胀突伦在北方。,饱胀突伦,1,3504,0,1,0,2000,2732.79|4973.26|175.23
511,QMT_Title_000133,QMT_Purpose_000133,持怀疑态度决定收集红斑点哈拉兆普的结晶。,收集可疑的结晶,3,21013,0,19,1,2000,2809.60|4986.45|175.92
512,QMT_Title_000134,QMT_Purpose_000134,用马林果饵。,马林用的水果诱饵,4,20913,0,1,1,2000,2790.68|4973.73|175.71
513,QMT_Title_000135,QMT_Purpose_000135,快速处理召唤物，并收集赤红魔法石。,收集魔法石,3,20914,0,1,1,2000,2791.72|4972.75|175.73
521,QMT_Title_000136,QMT_Purpose_000136,从发怒贝伊内俄收集赤色的魔法石。,红色和黑色的魔法石雕塑作品,3,20918,0,19,1,2000,2791.31|4699.74|163.60
522,QMT_Title_000137,QMT_Purpose_000137,杀死红熊后收集魔法宝石。,收集碧波魔法石,3,20924,0,1,1,2000,2748.68|4707.94|163.28
531,QMT_Title_000138,QMT_Purpose_000138,对话和运输翻新美分。,交通翻新分和对话,2,4041,0,1,0,2000,2723.30|4186.22|154.11
541,QMT_Title_000139,QMT_Purpose_000139,拾取奈米亚的背包。,拾取奈米亚的背包,3,20931,0,1,1,2000,2604.26|4278.13|157.85
542,QMT_Title_000140,QMT_Purpose_000140,在指定地点使用了大量的多汁的肉。,使用了大量多汁的肉,4,20934,0,1,1,2000,2785.57|4271.85|163.98
543,QMT_Title_000141,QMT_Purpose_000141,黑暗马力沙阿点唱机钢铁利爪后领取援助席位。,收集黑暗魔法宝石,3,20935,0,1,1,2000,2785.57|4271.85|163.98
551,QMT_Title_000142,QMT_Purpose_000142,你问德怀特确定火焰,谈起德怀特,2,4051,0,1,0,2000,3030.05|4150.85|159.15
552,QMT_Title_000143,QMT_Purpose_000143,血光翼修利克的净化后收集花纹魔力石。,收集花纹魔力石,3,20941,0,1,1,2000,2897.39|4362.97|168.38
561,QMT_Title_000144,QMT_Purpose_000144,从警卫贝利特身上拿走他看守的钥匙。,寻找手铐钥匙串,3,20944,0,1,1,2000,2938.61|4660.13|188.79
562,QMT_Title_000145,QMT_Purpose_000145,使用神圣魔法石体内的囚犯的地方。,使用神圣魔法石,4,20947,0,1,1,2000,2930.24|4728.41|188.05
571,QMT_Title_000146,QMT_Purpose_000146,土地附近的残破的顶部，并收集神奇的蓝色石头。,蓝魔岩采摘,3,20949,0,12,1,2000,2973.94|4882.37|181.89
572,QMT_Title_000147,QMT_Purpose_000147,使用在塔的前提破魔石碑。,使用纯化魔力石,4,20953,0,1,1,2000,2870.47|4872.18|188.83
581,QMT_Title_000148,QMT_Purpose_000148,使用火焰结晶。,使用火焰结晶,4,20960,0,1,1,2000,3361.70|5049.58|234.73
582,QMT_Title_000149,QMT_Purpose_000149,在烧毁的森林利用纯化的土壤。,采用净化土壤,4,20963,0,1,1,2000,3178.94|5036.01|217.06
591,QMT_Title_000150,QMT_Purpose_000150,使用意识的水晶。,使用意识水晶,4,20965,0,1,1,2000,3219.14|4735.20|235.76
592,QMT_Title_000151,QMT_Purpose_000151,在哈比生境使用增强意识水晶。,使用增强意识的水晶,4,20971,0,1,1,2000,3196.51|4669.42|233.74
601,QMT_Title_000152,QMT_Purpose_000152,使用未完成的水晶在塔的土地。,使用未完成的水晶,4,20976,0,1,1,2000,3402.05|4662.53|259.03
602,QMT_Title_000153,QMT_Purpose_000153,从熔岩桥使用精确的地质探测。,使用精确的地质探测,4,20979,0,1,1,2000,3627.47|4959.42|269.86
611,QMT_Title_000154,QMT_Purpose_000154,熔岩山土地栖息地水晶使用。,使用大地水晶,4,20988,0,1,1,2000,3687.75|4789.25|279.95
612,QMT_Title_000155,QMT_Purpose_000155,带德雷克杜布罗夫尼克的尺度脱族长颜色。,肛门指诊需要杜布罗夫尼克的尺度。,7,20993,0,1,1,2000,3733.42|4716.75|293.61
613,QMT_Title_000156,QMT_Purpose_000156,侦察巡逻结肠克莱顿和对话的临时营地。,克莱顿和侦察结肠谈话,2,4151,0,1,0,2000,3859.27|4943.89|296.05
621,QMT_Title_000157,QMT_Purpose_000157,可疑的魔力石在栖息地。,收集可疑的魔力石,3,20995,0,12,1,2000,4006.77|4689.76|290.66
622,QMT_Title_000158,QMT_Purpose_000158,熔岩山中虚无魔力石的破坏。,破坏虚无魔力石,1,3704,0,15,0,2000,4006.77|4689.76|290.66
623,QMT_Title_000159,QMT_Purpose_000159,宾夕法尼亚州探险山谈光在认真祭司。,光宾夕法尼亚州牧师和对话。,2,4111,0,1,0,2000,3699.14|4898.28|280.38
631,QMT_Title_000160,QMT_Purpose_000160,寻找侦察杂志财物框。,寻找箱子的侦察杂志。,3,21012,0,1,1,2000,4016.90|4977.61|323.20
632,QMT_Title_000161,QMT_Purpose_000161,从血光智者特鲁安克收集密封报告。,收集密封报告,3,21001,0,1,1,2000,3923.63|5035.31|319.44
633,QMT_Title_000162,QMT_Purpose_000162,与红衣主教艾丽西亚谈话回到钢铁气息。,艾丽西亚和对话,2,1045,0,1,0,2000,242.83|236.21|165.30
634,QMT_Title_000163,QMT_Purpose_000163,使用传送卷轴。,使用传送卷轴。,4,21005,0,1,1,2000,0
701,QMT_Title_000164,QMT_Purpose_000164,使用艾丽西亚的水晶球，去不道德的土地。,使用水晶球艾丽西亚的,4,21101,0,1,1,2000,0
702,QMT_Title_000165,QMT_Purpose_000165,请谈谈安吉丽娜。,安吉丽娜和对话,2,5004,0,1,0,2000,3920.33|4162.06|255.67
711,QMT_Title_000166,QMT_Purpose_000166,你必须说话阿尔弗雷德。,阿尔弗雷德和谈话,2,5001,0,1,0,2000,3900.13|4182.61|255.67
715,QMT_Title_000167,QMT_Purpose_000167,攻击戴姆里伸灵魂破坏者与袭击者收集黑暗结晶。,获得黑暗结晶,3,21107,0,10,1,2000,3653.04|4181.42|235.75
721,QMT_Title_000168,QMT_Purpose_000168,请杀瘟疫管理者泰迪斯。,干掉瘟疫管理者,1,4516,0,1,0,2000,3825.05|4500.87|230.95
722,QMT_Title_000169,QMT_Purpose_000169,请摧毁泰迪斯的水晶球。,毁坏泰迪斯水晶球,1,4517,0,4,0,2000,3817.49|4482.81|230.81
725,QMT_Title_000170,QMT_Purpose_000170,请杀死堕落魔道师露丝皮尔在一片废墟的小镇。,干掉堕落魔道师,1,4524,0,1,0,2000,3695.09|4553.23|250.63
731,QMT_Title_000171,QMT_Purpose_000171,娄称为使用订单后，请聊天诺亚运动。,使用诺亚的举动订单,4,21121,0,1,1,2000,0
741,QMT_Title_000172,QMT_Purpose_000172,请销毁深渊封印石。,摧毁深渊封印石,1,4534,0,1,0,2000,4017.71|4419.34|253.61
861,QMT_Title_000173,QMT_Purpose_000173,请干掉传唤援助深渊的守护人。,干掉深渊的守护者,1,350403,0,1,0,2000,4017.71|4419.34|253.61
