TID,Comment,Type,Movie,Image,Camera,TargetTID,EngDesc,LocalDesc,,,,,,,
157,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000076,问题是卡萨尔消失后仍觉得黑色安息暗气的。,,,,,,,
158,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000077,也许暗黑色势力好的长期暴露自修改好地暗黑色污染的存敌人出现吧。,,,,,,,
159,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000078,黑色暗污染的存敌人的时间越长，而又强烈的变化。所以在那之前，敌好处，导致置。,,,,,,,
161,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000079,您辛苦了。托GetName $（）的福暗黑势力消失了。,,,,,,,
162,,0,,,quest_cam_alone_chest_buff,1074,QST_Desc_000080,现在我作为春光好师生们地区净化，以后也暗黑色势力好，不长。,,,,,,,
171,,0,,,quest_cam_alone_medium_buff,1084,QST_Desc_000081,派遣军队宿营地移动的过程中不好的盗贼团袭击僚机们死在这里被绑架。,,,,,,,
172,,0,,,quest_cam_alone_medium_buff,1084,QST_Desc_000082,但重要的是我的命比我等师徒们传达的消息。,,,,,,,
173,,0,,,quest_cam_alone_chest_buff,1084,QST_Desc_000083,依危旧房的春光好师生以外，谁也不能告诉你。我自己附近的春光好师生上。,,,,,,,
174,,0,,,quest_cam_alone_chest_buff,1084,QST_Desc_000084,这种况功成，司机您帮帮我吧。我为止带到安全的地方。,,,,,,,
177,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000085,司祭要来了。我到达的时间来了，也不担心的。,,,,,,,
181,,0,,,quest_cam_alone_chest_buff,1085,QST_Desc_000086,GetName $（）方法和我在每次计划被阻止的黑魔法师们这会有好事情的方法而进行的。,,,,,,,
182,,0,,,quest_cam_alone_chest_buff,1085,QST_Desc_000087,灰色皮肤族里有着毫无掩饰的黑暗势力,,,,,,,
183,,0,,,quest_cam_alone_medium_buff,1085,QST_Desc_000088,我好监视方法摆脱势败为隐藏状态下无法处理的事情要发生。,,,,,,,
184,,0,,,quest_cam_alone_medium_buff,1085,QST_Desc_000089,当然，这样的结果不会改变。好，我也会这作为攻击他们，他们会妨碍好计划。,,,,,,,
185,,0,,,quest_cam_alone_medium_buff,1085,QST_Desc_000090,黑魔法师处，导致置和他们的黑色暗水回收性好。,,,,,,,
187,,0,,,quest_cam_alone_chest_buff,1085,QST_Desc_000091,新的纸条。,,,,,,,
188,,0,,,quest_cam_alone_chest_buff,1085,QST_Desc_000092,看来你的黑色暗势力好的水性，同时上位困惑好吧好存敌人追随者有指示的命令。,,,,,,,
189,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000093,依危旧房纸条上写的内容不能完全解释，但单某事情越能解释的了。,,,,,,,
190,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000094,所以这样的纸条。就黑魔法师们有什么阴谋的领导才能。,,,,,,,
201,,0,,,quest_cam_alone_chest_buff,1093,QST_Desc_000095,知道的越性好和战斗中获胜的几率也高。,,,,,,,
202,,0,,,quest_cam_alone_chest_buff,1093,QST_Desc_000096,所以我作为春光好员工的种族战争以来，为求敌人止黑色暗好势研究败。,,,,,,,
203,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000097,但是正确的研究而直接暗黑色好势败经验吧。,,,,,,,
208,,0,,,quest_cam_alone_chest_buff,1093,QST_Desc_000098,暗黑色的存敌人的酸在制好的珠春光好，我召唤使用方法。我召唤作为直接的信息卡可以调查。,,,,,,,
210,,0,,,quest_cam_alone_medium_buff,1093,QST_Desc_000099,黑色暗好势败，不知道身体强化，但强化了我的能力作为好幅度超过预期。,,,,,,,
211,,0,,,quest_cam_alone_medium_buff,1093,QST_Desc_000100,$（）GetName好帮助确认新的事实。,,,,,,,
221,,0,,,quest_cam_alone_medium_buff,1122,QST_Desc_000101,师生们通过特殊的训练暗气黑色安息的感受。但是我也因此作为人类感知的黑色安息暗气是有限度的。,,,,,,,
222,,0,,,quest_cam_alone_medium_buff,1122,QST_Desc_000102,作为我的弱点，为生命体周围无故发狂，他们的考试。,,,,,,,
223,,0,,,quest_cam_alone_chest_buff,1122,QST_Desc_000103,做事情的生命体中，身体的存敌人暗就染上了黑色的意思。,,,,,,,
224,,0,,,quest_cam_alone_chest_buff,1122,QST_Desc_000104,最近周围森林蜘霸气蛛好了。所以蛛黑色森林蜘暗染上了一下。,,,,,,,
227,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000105,$（）GetName确认您正确，森林蜘蛛发狂的有黑色暗力不好势介入。欣慰的事情。,,,,,,,
231,,0,,,quest_cam_alone_chest_buff,1101,QST_Desc_000106,呵呵！会有这好春光好师生们也黑向导找不到好的痕迹。但是，真的好磨床王国设立黑魔法师们没有好的干预。,,,,,,,
232,,0,,,quest_cam_alone_chest_buff,1101,QST_Desc_000107,我和他们交易中获取过多的不知道，所以这好机会启发我值提高。,,,,,,,
233,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000108,该线更着重抓好王。很多东西是可回收的。,,,,,,,
235,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000109,你是说得到了克拉伦卡的捷报？,,,,,,,
236,,0,,,quest_cam_alone_medium_buff,1122,QST_Desc_000110,弄来的血石心脏和完全脱离两好事情积压了。这样的话，我也暗作为远处的黑色安息天气毫无感觉。,,,,,,,
237,,0,,,quest_cam_alone_medium_buff,1122,QST_Desc_000111,还是浅黑的看不见了。以后我也能更好地方法。,,,,,,,
241,,0,,,quest_cam_alone_chest_buff,1133,QST_Desc_000112,强大的黑色安息暗这天气。也许暗黑色好晚上好掀发起方黑魔法史。,,,,,,,
242,,0,,,quest_cam_alone_chest_buff,1133,QST_Desc_000113,但是。。。黑魔法史难以把握好正确的位置。山魔法的使用。,,,,,,,
243,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000114,这样一来，直接移动，只好找了。,,,,,,,
245,,0,,,quest_cam_alone_chest_buff,1133,QST_Desc_000115,我的真实好修改好的场所使用，黑色安息暗气去掉黑魔法师可以找到。,,,,,,,
251,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000116,好吧暗坑内部黑色缠树被发现。,,,,,,,
252,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000117,谁有计划地种了，不好暗黑色区域很强，自修改好的出现，不知道,,,,,,,
253,,0,,,quest_cam_alone_chest_buff,1162,QST_Desc_000118,黑色暗好树后心脏消失或失踪的士兵们的事实。,,,,,,,
254,,0,,,quest_cam_alone_chest_buff,1162,QST_Desc_000119,你巨大的黑色暗缠绕存敌人作为我对事情不好。,,,,,,,
255,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000120,为求敌人也给好暗黑色吸收生长，再生长之前赶紧破坏。,,,,,,,
257,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000121,好树处，导致置困惑，但雾小而已。,,,,,,,
258,,0,,,quest_cam_alone_chest_buff,1162,QST_Desc_000122,我估计错了？,,,,,,,
259,,0,,,quest_cam_alone_chest_buff,1162,QST_Desc_000123,果然好师生们的帮助，这样的事情无法解决。,,,,,,,
261,,0,,,quest_cam_alone_medium_buff,1163,QST_Desc_000124,如此强大的黑色安息暗气这一般士兵们的感觉。,,,,,,,
262,,0,,,quest_cam_alone_medium_buff,1163,QST_Desc_000125,黑色暗好树出现这个事情也都是否定的存敌人这里江林。,,,,,,,
263,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000126,最先被冤的侦察兵尸体心脏不好的话忆广。,,,,,,,
264,,0,,,quest_cam_alone_medium_buff,1163,QST_Desc_000127,黑色暗势力好，而且好的生命体的心脏存敌人的一个而已。,,,,,,,
265,,0,,,quest_cam_alone_chest_buff,1163,QST_Desc_000128,好吧这坑里会好好事情元凶的健康狗找处，导致置吧。,,,,,,,
266,,0,,,quest_cam_alone_chest_buff,1163,QST_Desc_000129,他置处，导致不好的话，这个空间就不会消失。,,,,,,,
268,,0,,,quest_cam_alone_chest_buff,1163,QST_Desc_000130,这个地区有异常的黑色安息暗气也逐渐消失了。,,,,,,,
269,,0,,,quest_cam_alone_chest_buff,1163,QST_Desc_000131,现在我作为净化也开始在这个地区异常。黑色安息暗气散了会这好事情都解决了。,,,,,,,
272,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000132,女王蜘蛛不用解释也知道是什么样的存在吧,,,,,,,
273,,0,,,quest_cam_alone_chest_buff,1171,QST_Desc_000133,巨大蜘蛛不好而牺牲，什么样的女人，也蜘蛛处，导致置。,,,,,,,
277,,0,,,quest_cam_alone_chest_buff,1171,QST_Desc_000134,$（）GetName好表现，而女人蜘蛛置处，导致了巨大蜘蛛再也不能勉强维持。,,,,,,,
281,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000135,凯尔特人的蜘好蛛异常增殖自修改好的现象呢？但是我们还是没法好阴谋不能。,,,,,,,
282,,0,,,quest_cam_alone_chest_buff,1173,QST_Desc_000136,反正我也作为首脑部决定前为好。止的上好这士兵们真相不能说的况功成。但是暗黑色势力好大的报告有兴趣。,,,,,,,
283,,0,,,quest_cam_alone_chest_buff,1173,QST_Desc_000137,女人，蜘蛛好周围的黑色安息暗气的。他们置处，导致了暗气不黑色安息吧。,,,,,,,
285,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000138,黑色安息暗气很散，我也祈祷净化方法。,,,,,,,
286,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000139,女人，蜘蛛再次出生的自修改好的事情，故无法阻止，但再次出生的男女，蜘蛛求敌人一样强大的样子不见了。,,,,,,,
291,,0,,,quest_cam_alone_medium_buff,1182,QST_Desc_000140,不好。我作为基地化侦察兵侦察。,,,,,,,
292,,0,,,quest_cam_alone_medium_buff,1182,QST_Desc_000141,一般侦察兵之类的问题，但他们的黑色暗缠绕堕落的存敌人可能更大的问题。,,,,,,,
293,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000142,我在这里，作为军队的事实告诉他们。,,,,,,,
294,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000143,要使用好的水晶基地侦察的堕落的存敌人人处，导致置吧。,,,,,,,
297,,0,,,quest_cam_alone_chest_buff,1182,QST_Desc_000144,您辛苦了。这一段安静了。,,,,,,,
301,,0,,,quest_cam_alone_chest_buff,1182,QST_Desc_000145,功成况不利的判断是堕落的。我们士化好兵们这个营地周围健康召唤猎。,,,,,,,
302,,0,,,quest_cam_alone_medium_buff,1182,QST_Desc_000146,但是我作为预先说了：召唤狗完全不一样的。健康的召唤完全干了，时间不够了。,,,,,,,
303,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000147,求敌人的微弱的黑色安息暗判断天气，周围的健康做好了准备和中间在哪里也未能在本研究势力不好用。,,,,,,,
304,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000148,这个方法对我的启发机。所以下机不健康的选择进行详细调查。,,,,,,,
305,,0,,,quest_cam_alone_medium_buff,1182,QST_Desc_000149,直升机在狗中完全召唤了好势败本研究使用之前，都敌好处，导致置研究用肉和回收。,,,,,,,
307,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000150,果然不出所料，我作为召唤完成的状态。,,,,,,,
308,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000151,在肉体中完全固定的情况下得到的肉，功成报价也容易获得。,,,,,,,
311,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000152,解决好春光军团也基本方针，看到敌人好去除。,,,,,,,
312,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000153,当然，这也是一个好方法。该方法是目前况功成，防止复发。,,,,,,,
313,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000154,不得不采取其他行动大队和草的春光。,,,,,,,
314,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000155,圣水使用净化污染的墓地。,,,,,,,
315,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000156,我的星宿污染的墓地中。,,,,,,,
316,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000157,马上解决问题的求和，但是敌人功成况复发是可以阻止的。,,,,,,,
318,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000158,性能好势败而墓地缠绕黑色安息暗天气减弱而已。,,,,,,,
319,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000159,我再好也作为净化了的灵魂们解放开始吧。,,,,,,,
321,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000160,侦察兵搜索这个地区的强大的黑色暗好存敌人。,,,,,,,
322,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000161,士兵们好帮助暗黑色好存敌人健康狗是我的所为止知道，一般士兵们兰斯置处，导致他不能。,,,,,,,
323,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000162,所以这好士兵也会替GetName $（）的表现应该告诉我。,,,,,,,
324,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000163,他是我的同事，地处，导致置吧。,,,,,,,
325,,0,,,quest_cam_alone_medium_buff,0,QST_Desc_000164,这一地区的黑色暗消失就好存敌人的灵魂解放也快好了。,,,,,,,
327,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000165,$（）。GetName多亏了迅速的灵魂安息。,,,,,,,
328,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000166,他们绝对$ GetName（不好）的帮助。,,,,,,,
331,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000167,草的春光军团堕落的地方不化的关系作为我的堕落者计划好和这里的净化。,,,,,,,
332,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000168,好，好生代考古门按合同水文生意。马尼。但是考古代好门要买马尼先堕落了的问题。,,,,,,,
333,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000169,所以这里先净化为堕落的水文生意处，导致置马尼。,,,,,,,
334,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000170,好马尼公司本身存鱼肥。我在那处，导致敌人作为置为界召唤是必要的。,,,,,,,
335,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000171,现实生活中在马尼召唤用的简单方法，堕落的护卫骑士们的考古代利用好文章。,,,,,,,
336,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000172,文章堕落的司机买马尼和通信所使用的物品，但功能放大，通信不仅买了好召伊丽莎白在肉体中唤可能。,,,,,,,
337,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000173,七日这张放大门好准备，堕落的护卫骑士处，导致置和考古代好文章。,,,,,,,
339,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000174,好文章考古代他助长势败。,,,,,,,
340,,0,,,quest_cam_alone_chest_buff,0,QST_Desc_000175,无法计算进行了可怕的鬼在中间在埃我买了召唤能够。,,,,,,,
351,,0,,,quest_cam_alone_chest_buff,1337,QST_Desc_000176,代原代考古考古好文章，称为好的强大的魔法，好事情。所以，如果有好的句子代考古考古代完美修复好。但是。。。,,,,,,,
352,,0,,,quest_cam_alone_chest_buff,1337,QST_Desc_000177,我模仿能力是相似的。但是，请不要担心。,,,,,,,
353,,0,,,quest_cam_alone_medium_buff,1337,QST_Desc_000178,好，好代考古一样的威力，但马尼，水文买卖中间界召唤有足够的。,,,,,,,
354,,0,,,quest_cam_alone_medium_buff,1337,QST_Desc_000179,在门口买了考古代好埃召唤后他处，导致置吧。,,,,,,,
357,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000180,还是我的能力不够。不要把生活本身，而是身体好的人出现。,,,,,,,
358,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000181,但是买了好势伊丽莎白力下降的事实，考古代好门可以印开封。,,,,,,,
361,,0,,,quest_cam_alone_chest_buff,1337,QST_Desc_000182,考古代好门原来神的前世界和中间连接通道系好了。,,,,,,,
362,,0,,,quest_cam_alone_chest_buff,1337,QST_Desc_000183,因此，神们睡前世界和连接好，好道也代考古作用消失。但是作用消失了。考古代门上有好的势败为止消失。,,,,,,,
363,,0,,,quest_cam_alone_chest_buff,1337,QST_Desc_000184,代上好礼品的势败的存敌人再次伸出魔爪的时候不知道，如果不是特定存敌人考古代门不好使用印开封最好。,,,,,,,
364,,0,,,quest_cam_alone_chest_buff,1192,QST_Desc_000185,考古代好门印开封的开封印订单有大量好圣水和噩梦好花。/ / n n在讲台上，我作为负责，噩梦好花$ GetName（我）。,,,,,,,
369,,0,,,quest_cam_alone_medium_buff,1192,QST_Desc_000186,噩梦好花。辛苦了。我终于印开封滚动功能制作好了。,,,,,,,
