TID,Type,EngTitle,EngMainScript,EngProgressScript,EngFinishScript,EngMiniBarFinish,LocalTitle,LocalMainScript,LocalProgressScript,LocalFinishScript,LocalMiniBarFinish,Area,Grade,Level,Repeat,RepeatDay,Share,StartType,StartValue,StartCinemaTID,FinishType,FinishValue,FinishCinemaTID,TimeOut,PrevQuest,NextQuest,DemandRace,DemandLowLv,DemandMaxLv,DemandWeapon,DemandWLv,GiveItem1,GiveItemCnt1,GiveItem2,GiveItemCnt2,EventTID,MissionTID,RewardTID,DropTID
19,0,QUT_Title_000016,QUT_Main_000016,QUT_Progress_000016,QUT_Finish_000016,QUT_Mini_000016,混沌之树,"<TC '163:21:21' Text'在死者之坑' />死者之坑 <TC '163:21:21' Text'发现了' />被黑暗缠绕的树木. /n /n不知道是谁故意栽种的,这一地域的黑暗原来就很强大所以不知道是不是自然出现的.但是发现 <TC '163:21:21' Text'黑暗的树木' />心脏消失或者失踪士兵们的数量增加了. /n /n趁现在吸收周围黑暗而成长之前应该赶紧将它破坏了. ",在<TC '163:21:21' Text'死者之坑' />干掉 <TC '163:21:21' Text'被黑暗缠绕的树木' />,"干掉了混沌树木,不只是雾气渐渐地减少了连不同之处也没有了.和我的预想不同吗? /n /n果然没有司祭们的帮忙就无法解决这样的事.",报告特里。,1102,0,16,0,0,1,1,1162,0,1,1162,0,0,0,20,1|3,16,99,0,0,0,0,0,0,0,10284,100019,0
20,0,QUT_Title_000017,QUT_Main_000017,QUT_Progress_000017,QUT_Finish_000017,QUT_Mini_000017,地狱的把守者?,普通士兵无法感受到强烈的黑暗气息.因为不正当存在降临这一地方所以生长黑暗树木也会引起人死. /n /n你还记得最近死亡的侦察兵们没有心脏一事吗? /n /n被黑暗之力带走的生灵以及吃掉生灵心脏之人就是俄比斯魔掌地域犬. /n /n<TC '163:21:21' Text'在死人坑' />引发这件事情的元凶就是 <TC '163:21:21' Text'地域犬格拉伊德' />请找到并且干掉他.这个家伙不死的话那么死亡空间也不会消失.,在<TC '163:21:21' Text'死者之坑' />找到这次事件的元凶<TC '163:21:21' Text'地域犬格拉伊德' />然后干掉它.,辛苦了.地域犬消失后以不正常方式聚集在这一地方的黑暗气息也慢慢地消失了.,比安科所示的对话框。,1102,0,16,0,0,1,1,1163,0,1,1163,0,0,0,10286,1|3,16,99,0,0,0,0,0,0,0,10285,100020,0
21,0,QUT_Title_000018,QUT_Main_000018,QUT_Progress_000018,QUT_Finish_000018,QUT_Mini_000018,女王蛛,不久前当村庄被黑暗笼罩时大蜘蛛袭击了村庄. /n /n因受到死者袭击大部分士兵都死了或者受了伤.我们无法阻挡大蜘蛛来袭所以导致很多住民都被大蜘蛛抓去食用... /n /n大蜘蛛再次开始集结了. 如果现在我们不能阻挡大蜘蛛的话这些家伙们将再次开始攻击村庄.将会再次发生同样的悲剧. /n /n为了阻止这些家伙们集结 <TC '163:21:21' Text'我们要杀死它们的头领' />女王蛛.必须让它们付出牺牲.,"为了减少大蜘蛛的数量,不管付出任何牺牲都要干掉<TC '163:21:21' Text'女王蛛' />",果然没有辜负我们的期望. 多亏/n /n$GetName()的帮助才干掉了女王蛛那么大蜘蛛也坚持不了多久.,凯尔特人和对话。,1102,0,17,0,0,1,1,1171,0,1,1171,0,0,0,0,1|3,17,99,0,0,0,0,0,0,0,10304,100021|401118|401119|401120|401316|401317|401318,0
22,0,QUT_Title_000019,QUT_Main_000019,QUT_Progress_000019,QUT_Finish_000019,QUT_Mini_000019,黑魔法的残余,凯尔特蜘蛛发生了自然性的异常增殖对吗? 要不然这就是戴姆里伸的阴谋. /n /n反正这之前由于我们领导的决定所以无法告诉艾因哈伊士兵们真实情况.但是即便如此眼看黑暗之力越来越强大. /n /n<TC '163:21:21' Text'感受到了在女王蛛' /> 周围的强大 <TC '163:21:21' Text'黑暗气息' />.请干掉它们并消除掉黑暗气息吧.,在<TC '163:21:21' Text'女王蛛' />周围感受到了强大的<TC '163:21:21' Text'黑暗气息' />请干掉它们.,"黑暗气息正在分散,我们也开始净化祈祷了. /n /n不用担心.再次出生的女王蛛像现在一样再也看不到强大的模样了.",该拉尼娅和对话。,1102,0,17,0,0,1,1,1173,0,1,1173,0,0,0,0,1|3,17,99,0,0,0,0,0,0,0,32,100022|401121|401122|401123|401319|401320|401321,0
23,0,QUT_Title_000020,QUT_Main_000020,QUT_Progress_000020,QUT_Finish_000020,QUT_Mini_000020,彻底的惩戒,"隐藏模样的戴姆里伸侦察兵正在侦察我们的基地. /n /n虽然普通侦察兵也是一个问题,但是围绕着他们堕落黑暗气息的存在才是更大的问题. /n /n不能告诉他们我们在这一地方聚集兵力. 那么 <TC '163:21:21' Text'请使用真实的水晶' />把隐藏模样侦察我们基地的 <TC '163:21:21' Text'堕落侦察兵' />干掉.",使用<TC '163:21:21' Text'真实之水晶' />隐藏? ??? ??? ?? ? ?? ??? ???? 请干掉在我们基地侦查到的<TC '163:21:21' Text'堕落的侦查兵' />,辛苦了.用这个可以安静一阵了.,报告希腊。,1102,0,18,0,0,0,1,1182,0,1,1182,0,0,10313,24,1|3,18,99,0,0,20203,1,0,0,0,33|34,100023|401124|401125|401126|401322|401323|401324,0
24,0,QUT_Title_000021,QUT_Main_000021,QUT_Progress_000021,QUT_Finish_000021,QUT_Mini_000021,演技召唤术,判断为不利情况时在戴姆里伸士兵驻扎地周围召唤地域犬.由于我们事先准备了所以没有召唤地域犬的必要.召唤地域犬没有充足的时间. /n /n用现在感觉到的微弱的黑暗之力判断的话分明是周围的地域犬俄比斯不能隐藏在中间所以他们不能使用他们本来的力量. /n /n这对我们来说是个独一无二的机会.所以不要浪费这个机会更应该认真调查地狱犬. /n /n<TC '163:21:21' Text'趁地狱犬' />力量恢复之前干掉这个家伙作为研究用 <TC '163:21:21' Text'应该回收' />地狱犬的肉.,在使用<TC '163:21:21' Text'地域犬' />在中间使用力量之前干掉这个家伙并回收用用作研究的 <TC '163:21:21' Text'地域犬的肉' />,和我们预想一样召唤无法结束的状态. /n /n在中间无法固定肉体获取情报或者更容易些.,报告希腊。,1102,0,18,0,0,1,1,1182,0,1,1182,0,0,10313,0,1|3,18,99,0,0,0,0,0,0,0,35,100024|401127|401128|401129|401325|401326|401327,7
25,0,QUT_Title_000022,QUT_Main_000022,QUT_Progress_000022,QUT_Finish_000022,QUT_Mini_000022,墓地的净化,"果然草绿色军团的基本方针消除了显而易见的敌人.当然这也是一种方法但是对于现在而言防止不了目前再次发生的情况. /n /n这次也不得不和草绿色军团采取不同地行动.我带着的圣水 <TC '163:21:21' Text'圣水' /> <TC '163:21:21' Text'请在被污染的' />墓地使用. /n /n使用圣水虽然无法立马解决该状况,但是可以阻止状况的再次发生.",请将<TC '163:21:21' Text'圣水' />在<TC '163:21:21' Text'被污染的墓地' />使用.,因为圣水之力的原因感觉到缠绕墓地的黑暗气息变弱了. /n /n我们净化祈祷加重的话受痛苦的灵魂就会开始被解放.,该rayira和对话。,1102,0,19,0,0,0,1,1192,0,1,1192,0,0,10324,0,1|3,19,99,0,0,20088,1,0,0,0,10327,100025|401130|401131|401132|401328|401329|401330,0
26,0,QUT_Title_000023,QUT_Main_000023,QUT_Progress_000023,QUT_Finish_000023,QUT_Mini_000023,黑暗的守门犬,"侦察兵在搜索这一地域时发现了强大黑暗的存在.在士兵们的帮助下得知黑暗存在是地域犬格兰泰斯,但是普通士兵无法干掉这个家伙. /n /n为了减少士兵们的牺牲 $GetName()应该挺身而出. <TC '163:21:21' Text'在被遗忘之人的墓地' /> <TC '163:21:21' Text'请干掉' />格兰泰斯. /n /n管理这一区域黑暗存在消失的话才会加快痛苦灵魂的解放.",请干掉召集同伴的<TC '163:21:21' Text'格兰泰斯' />,对亏$GetName()受苦痛的灵魂才能快速地找到安息之地.他们绝对不会忘记$GetName()的帮助.,该rayira和对话。,1102,0,19,0,0,1,1,1192,0,1,1192,0,0,10324,0,1|3,19,99,0,0,0,0,0,0,0,10328,100026|401114|401115|401116|401117|401195,0
63,0,QUT_Title_000024,QUT_Main_000024,QUT_Progress_000024,QUT_Finish_000024,QUT_Mini_000024,古代的书,在阻止草绿色军团堕落的戴姆里伸期间我们要妨碍堕落者们的计划并且净化这一地方. /n /n遵循太古契约古代之门由守门将萨麦尔来把守.但是把守古代之门的萨麦尔已经堕落了. /n /n为了净化这个地方首先需要杀掉堕落的守门将萨麦尔. /n /n由于萨麦尔本体俄比斯的存在我们为了干掉他需要把他召唤到中间来.将萨麦尔召唤到中间来最简单的方法就是利用堕落护卫骑士携带的古代文章. /n /n 虽然古代文章是为了联系堕落护卫骑士萨麦尔而使用魔法物品但是增加文章的话不仅能和萨麦尔通话而且能将他的肉体召唤到中间. /n /n易雷亚在为增加文章做准备 <TC '163:21:21' Text'干掉' />堕落的护卫骑士 <TC '163:21:21' Text'并请收集' />古代的文章.,干掉<TC '163:21:21' Text'堕落的护卫骑士' />并收集 <TC '163:21:21' Text'古代的文章' />,收集古代的文章就会增幅他的力量. /n /n按计算进行的话向俄比斯可以将萨麦尔强制召唤到中间.,阿波yireyi交谈。,1102,0,20,0,0,1,1,1192,0,1,1337,0,0,10353,64,1|3,20,99,0,0,0,0,0,0,0,63,100063,31
64,0,QUT_Title_000025,QUT_Main_000025,QUT_Progress_000025,QUT_Finish_000025,QUT_Mini_000025,堕落的守门将,"古代文章原是强大魔法书的一部分.因此有古代文章的话才能完整地恢复古代的书... /n /n以我的能力可以模仿地一模一样.但是请不要担心. /n /n事实上虽然无法发挥出古代之书的威力,但是完全可以将守门将萨麦尔召唤到中间. /n /n<TC '163:21:21' Text'在古代之门' /> 前方 <TC '163:21:21' Text'将萨麦尔召唤后' />再干掉他.",在<TC '163:21:21' Text'古代之门' /> 前方召唤<TC '163:21:21' Text'萨麦尔' />之后请干掉它.,果然我的能力还是不够啊.萨玛艾尔的分身出现时都不知道.然而萨玛艾尔力量减少成为事实好像才能封印古代之门. ,阿波yireyi交谈。,1102,0,20,0,0,0,1,1337,0,1,1337,0,0,63,65,1|3,20,99,0,0,20099,1,0,0,0,69|64,100064,0
